Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0281.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0282.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0283.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0284.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0285.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0286.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0287.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0288.AVI,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0289.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0290.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0291.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0292.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0293.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0294.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0295.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0296.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0297.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0298.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0299.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0300.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0301.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0302.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0303.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0304.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0305.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0306.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0307.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0308.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0309.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0310.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0311.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0312.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0313.AVI,True
